name|translation|question|answer
11August_2010_Wednesday_tagesschau-1|und nun die wettervorhersage für morgen donnerstag den zwölften august|Wann ist die Wettervorhersage angesagt?|Für morgen, Donnerstag, den zwölften August.
11August_2010_Wednesday_tagesschau-4|mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich|Wann kann es mancherorts länger und ergiebig regnen?|Mancherorts kann es länger und ergiebig regnen, wenn lokale Überschwemmungen möglich sind.
11August_2010_Wednesday_tagesschau-5|im nordwesten bleibt es heute nacht meist trocken sonst muss mit teilweise kräftigen schauern gerechnet werden örtlich mit blitz und donner|Was wird über das Wetter im Nordwesten heute Nacht gesagt?|Es bleibt heute Nacht meist trocken.
11August_2010_Wednesday_tagesschau-6|auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen|Wann gibt es kräftige Schauer oder Gewitter in Deutschland?|Auch am Tag.
11August_2010_Wednesday_tagesschau-7|größere wolkenlücken finden sich vor allem im nordwesten|Wo finden sich die größeren Wolkenlücken?|Im Nordwesten.
11August_2010_Wednesday_tagesschau-9|im emsland heute nacht nur neun am oberrhein bis siebzehn grad|Wie viele Grad wird es im Emsland heute Nacht geben?|Es wird nur neun Grad geben.
11August_2010_Wednesday_tagesschau-10|morgen ähnliche temperaturen wie heute neunzehn bis fünfundzwanzig in der lausitz bis siebenundzwanzig grad|Welche Temperaturen werden morgen in der Lausitz erwartet?|Morgen werden Temperaturen zwischen neunzehn und siebenundzwanzig Grad erwartet.
11August_2010_Wednesday_tagesschau-11|am freitag kann es in der osthälfte teilweise länger und kräftig regnen vorsicht hochwassergefahr|Wann kann es in der Osthälfte kräftig regnen?|Am Freitag.
11August_2010_Wednesday_tagesschau-12|sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten|Was wird am Wochenende erwartet?|Es werden wechselhaftes Wetter, Schauern und Gewitter erwartet.
11August_2010_Wednesday_tagesschau-13|am temperaturniveau ändert sich wenig|Was ändert sich am Temperaturniveau?|Es ändert sich wenig.
25October_2010_Monday_tagesschau-14|und nun die wettervorhersage für morgen dienstag den sechsundzwanzigsten oktober|Wann ist die Wettervorhersage, die angekündigt wird?|Für morgen, Dienstag, den sechsundzwanzigsten Oktober.
